,Material,E_form,A1_rad,A2_rad,X_rad,Abar_rad,dA_rad,Abar-X_rad,dAXbar_rad,ddAX_rad,A1_dipole,A2_dipole,X_dipole,Abar_dipole,dA_dipole,Abar-X_dipole,dAXbar_dipole,ddAX_dipole,A1_nvalence,A2_nvalence,X_nvalence,Abar_nvalence,dA_nvalence,Abar-X_nvalence,dAXbar_nvalence,ddAX_nvalence,A1_nup,A2_nup,X_nup,Abar_nup,dA_nup,Abar-X_nup,dAXbar_nup,ddAX_nup,A1_num_d,A2_num_d,X_num_d,Abar_num_d,dA_num_d,Abar-X_num_d,dAXbar_num_d,ddAX_num_d,A1_volume,A2_volume,X_volume,Abar_volume,dA_volume,Abar-X_volume,dAXbar_volume,ddAX_volume,A1_ion_energy,A2_ion_energy,X_ion_energy,Abar_ion_energy,dA_ion_energy,Abar-X_ion_energy,dAXbar_ion_energy,ddAX_ion_energy,A1_electron_affinity,A2_electron_affinity,X_electron_affinity,Abar_electron_affinity,dA_electron_affinity,Abar-X_electron_affinity,dAXbar_electron_affinity,ddAX_electron_affinity,A1_electronegativity,A2_electronegativity,X_electronegativity,Abar_electronegativity,dA_electronegativity,Abar-X_electronegativity,dAXbar_electronegativity,ddAX_electronegativity,A1_SOCC,A2_SOCC,Abar_SOCC,dA_SOCC
59,1T-Cr1Pt1Se4,-2.5204126,122,123,116,122.5,1,6.5,6.5,1,83,48,28.9,65.5,35,36.6,36.6,35,6,10,6,8,4,2,2,4,2,4,2,3,2,1,1,2,2,26,10,14,24,4,12,8,7.23,9.1,16.5,8.165,1.87,8.335,8.335,1.87,6.76651,8.95883,9.752392,7.86267,2.19232,1.889722,1.889722,2.19232,0.666,2.128,2.02067,1.397,1.462,0.62367,0.731,1.24734,0.666,2.128,2.02067,1.397,1.462,0.62367,0.731,1.24734,298,3711,2004.5,-3413
60,1T-Cr1Pt1Te4,-2.0377242,122,123,136,122.5,1,13.5,13.5,1,83,48,38,65.5,35,27.5,27.5,35,6,10,6,8,4,2,2,4,2,4,2,3,2,1,1,2,2,26,20,14,24,6,12,12,7.23,9.1,20.5,8.165,1.87,12.335,12.335,1.87,6.76651,8.95883,9.00966,7.86267,2.19232,1.14699,1.14699,2.19232,0.666,2.128,1.970876,1.397,1.462,0.573876,0.731,1.147752,0.666,2.128,1.970876,1.397,1.462,0.573876,0.731,1.147752,298,3711,2004.5,-3413
61,1T-Cr1Re1S4,-3.15978724,122,131,103,126.5,9,23.5,23.5,9,83,62,19.4,72.5,21,53.1,53.1,21,6,7,6,6.5,1,0.5,0.5,1,2,3,2,2.5,1,0.5,0.5,1,2,23,0,12.5,21,12.5,12.5,21,7.23,8.85,15.5,8.04,1.62,7.46,7.46,1.62,6.76651,7.83352,10.36001,7.300015,1.06701,3.059995,3.059995,1.06701,0.666,0.15,2.07710403,0.408,0.516,1.66910403,1.66910403,0.516,0.666,0.15,2.07710403,0.408,0.516,1.66910403,1.66910403,0.516,298,3634,1966,-3336
63,1T-Cr1Rh1Te4,-1.57507731,122,125,136,123.5,3,12.5,12.5,3,83,66,38,74.5,17,36.5,36.5,17,6,9,6,7.5,3,1.5,1.5,3,2,5,2,3.5,3,1.5,1.5,3,2,15,20,8.5,13,11.5,11.5,13,7.23,8.3,20.5,7.765,1.07,12.735,12.735,1.07,6.76651,7.4589,9.00966,7.112705,0.69239,1.896955,1.896955,0.69239,0.666,1.137,1.970876,0.9015,0.471,1.069376,1.069376,0.471,0.666,1.137,1.970876,0.9015,0.471,1.069376,1.069376,0.471,298,364.5,331.25,-66.5
64,1T-Cr1Ru1S4,-2.53734853,122,125,103,123.5,3,20.5,20.5,3,83,72,19.4,77.5,11,58.1,58.1,11,6,8,6,7,2,1,1,2,2,4,2,3,2,1,1,2,2,14,0,8,12,8,8,12,7.23,8.3,15.5,7.765,1.07,7.735,7.735,1.07,6.76651,7.3605,10.36001,7.063505,0.59399,3.296505,3.296505,0.59399,0.666,1.05,2.07710403,0.858,0.384,1.21910403,1.21910403,0.384,0.666,1.05,2.07710403,0.858,0.384,1.21910403,1.21910403,0.384,298,1496,897,-1198
65,1T-Cr1Ru1Se4,-2.25447524,122,125,116,123.5,3,7.5,7.5,3,83,72,28.9,77.5,11,48.6,48.6,11,6,8,6,7,2,1,1,2,2,4,2,3,2,1,1,2,2,14,10,8,12,2,6,4,7.23,8.3,16.5,7.765,1.07,8.735,8.735,1.07,6.76651,7.3605,9.752392,7.063505,0.59399,2.688887,2.688887,0.59399,0.666,1.05,2.02067,0.858,0.384,1.16267,1.16267,0.384,0.666,1.05,2.02067,0.858,0.384,1.16267,1.16267,0.384,298,1496,897,-1198
66,1T-Cr1Ru1Te4,-0.82383377,122,125,136,123.5,3,12.5,12.5,3,83,72,38,77.5,11,39.5,39.5,11,6,8,6,7,2,1,1,2,2,4,2,3,2,1,1,2,2,14,20,8,12,12,12,12,7.23,8.3,20.5,7.765,1.07,12.735,12.735,1.07,6.76651,7.3605,9.00966,7.063505,0.59399,1.946155,1.946155,0.59399,0.666,1.05,1.970876,0.858,0.384,1.112876,1.112876,0.384,0.666,1.05,1.970876,0.858,0.384,1.112876,1.112876,0.384,298,1496,897,-1198
67,1T-Cr1Sc1S4,-5.4866058,122,148,103,135,26,32,32,26,83,97,19.4,90,14,70.6,70.6,14,6,3,6,4.5,3,1.5,1.5,3,2,1,2,1.5,1,0.5,0.5,1,2,0,0,1,2,1,1,2,7.23,15,15.5,11.115,7.77,4.385,4.385,7.77,6.76651,6.56149,10.36001,6.664,0.20502,3.69601,3.69601,0.20502,0.666,0.188,2.07710403,0.427,0.478,1.65010403,1.65010403,0.478,0.666,0.188,2.07710403,0.427,0.478,1.65010403,1.65010403,0.478,298,76,187,222
68,1T-Cr1Ta1S4,-4.93086278,122,146,103,134,24,31,31,24,83,74,19.4,78.5,9,59.1,59.1,9,6,5,6,5.5,1,0.5,0.5,1,2,1,2,1.5,1,0.5,0.5,1,2,21,0,11.5,19,11.5,11.5,19,7.23,10.9,15.5,9.065,3.67,6.435,6.435,3.67,6.76651,7.54957,10.36001,7.15804,0.78306,3.20197,3.20197,0.78306,0.666,0.322,2.07710403,0.494,0.344,1.58310403,1.58310403,0.344,0.666,0.322,2.07710403,0.494,0.344,1.58310403,1.58310403,0.344,298,2507,1402.5,-2209
69,1T-Cr1Ta1Se4,-3.97740862,122,146,116,134,24,18,18,24,83,74,28.9,78.5,9,49.6,49.6,9,6,5,6,5.5,1,0.5,0.5,1,2,1,2,1.5,1,0.5,0.5,1,2,21,10,11.5,19,1.5,9.5,3,7.23,10.9,16.5,9.065,3.67,7.435,7.435,3.67,6.76651,7.54957,9.752392,7.15804,0.78306,2.594352,2.594352,0.78306,0.666,0.322,2.02067,0.494,0.344,1.52667,1.52667,0.344,0.666,0.322,2.02067,0.494,0.344,1.52667,1.52667,0.344,298,2507,1402.5,-2209
