Element,atomic_number,atomic_radius,atomic_radius_rahm,atomic_volume,atomic_weight,boiling_point,bulk_modulus,c6_gb,covalent_radius_cordero,covalent_radius_pyykko,covalent_radius_pyykko_double,covalent_radius_pyykko_triple,covalent_radius_slater,density,dipole_polarizability,electron_negativity,electron_affinity,en_allen,en_ghosh,en_pauling,first_ion_en,fusion_enthalpy,gs_bandgap,gs_energy,gs_est_bcc_latcnt,gs_est_fcc_latcnt,gs_mag_moment,gs_volume_per,hhi_p,hhi_r,heat_capacity_mass,heat_capacity_molar,icsd_volume,evaporation_heat,heat_of_formation,lattice_constant,mendeleev_number,melting_point,molar_volume,num_unfilled,num_valance,num_d_unfilled,num_d_valence,num_f_unfilled,num_f_valence,num_p_unfilled,num_p_valence,num_s_unfilled,num_s_valence,period,specific_heat,thermal_conductivity,vdw_radius,vdw_radius_alvarez,vdw_radius_mm3,vdw_radius_uff,sound_velocity,Polarizability
Tm,69,177,271,18.1,168.93422,2220,45,2020,190,164,131,115.1290102,175,9.321,147,1.25,1.029,10.0207573,0.2167244,1.25,6.18431,16.84,0,-4.47387849,3.905274476,4.920337518,0,29.78,9500,3100,0.16,27.03,30.14,232,232.2,3.54,21,1818,19.1,1,15,0,0,1,13,0,0,0,2,6,0.16,17,227,279,267,337.4,4494.936929,21.8
Yb,70,194,277,24.8,173.045,1466,31,1910,187,170,129,122.0090126,175,6.9654,140.7,1.26,-0.02,9.358341814,0.22119,1.439019319,6.25416,7.66,0,-1.47410408,4.086451411,5.148606152,0,34.12,9500,3100,0.155,26.74,41.17,159,155.6,5.49,17,1097,24.84,0,16,0,0,0,14,0,0,0,2,6,0.145,39,226,280,279,335.5,1590,20.9
Lu,71,175,270,17.8,174.9668,3668,48,2020,187,162,131,131,175,9.8404,148,1.27,0.34,6.455,0.22565,1,5.42586,18.65,0,-4.52300002,3.864860763,4.869419431,0.0022471,28.865,9500,3100,0.154,26.86,29.52,414,427.6,3.51,20,1936,17.78,9,17,9,1,0,14,0,0,0,2,6,0.155,16,224,274,265,364,4119.860704,21.9
Hf,72,167,264,13.6,178.49,5470,110,1040,175,152,128,122,155,13.31,109,1.3,0.014,6.83,0.229987,1.3,6.82507,27.2,0,-9.954299335,3.541014105,4.461398209,0,22.2,3400,2600,0.144,25.73,22.42,575,618.4,3.2,50,2503,13.44,8,18,8,2,0,14,0,0,0,2,6,0.146,23,223,263,253,314.1,3010,16.2
Ta,73,149,258,10.9,180.94788,5698,200,887,170,146,126,119,145,16.654,88,1.5,0.322,7.93,0.234581,1.5,7.54957,36.57,0,-11.85139954,3.309248619,4.169391995,0,18.12,2300,4800,0.14,25.36,17.65,758,782,3.31,52,3269,10.85,7,19,7,3,0,14,0,0,0,2,6,0.14,57,222,253,243,317,3400,13.1
W,74,141,253,9.53,183.84,5930,310,757,162,137,120,115,135,19.3,75,2.36,0.81626,8.67,0.2390504,1.7,7.86403,52.31,0,-12.95880062,3.178105751,4.004162334,0,16.05,7000,4300,0.132,24.27,15.85,824,851,3.16,55,3680,9.47,6,20,6,4,0,14,0,0,0,2,6,0.133,170,218,257,239,309.6,5174,11.1
Re,75,137,249,8.85,186.207,5900,370,663,151,131,119,110,135,21.02,65,1.9,0.15,9.46,0.2435164,1.9,7.83352,34.08,0,-12.41702777,3.083225384,3.884620563,0,14.655,3300,3300,0.137,25.48,14.71,704,774,2.76,58,3453,8.86,5,21,5,5,0,14,0,0,0,2,6,0.138,48,216,249,237,295.4,4700,9.7
Os,76,135,244,8.43,190.23,5300,284.8478671,584,144,129,116,109,130,22.57,57,2.2,1.1,9.78,0.2479845,2.2,8.43823,57.85,0,-11.22070399,3.043082054,3.834043137,0,14.09,5500,9100,0.13,24.7,13.8,738,787,2.74,63,3327,8.42,4,22,4,6,0,14,0,0,0,2,6,0.131,88,216,248,235,312,4940,8.5
Ir,77,136,233,8.54,192.217,4403,320,522,141,122,115,107,135,22.42,51,2.2,1.5638,9.96,0.25106,2.2,8.96702,41.12,0,-8.84851145,3.051696628,3.84489682,0,14.21,5500,9100,0.131,25.1,13.88,604,669,3.84,66,2683,8.52,3,23,3,7,0,14,0,0,0,2,6,0.133,150,213,241,236,284,4825,7.6
Pt,78,139,230,9.1,195.084,4100,230,470,136,123,112,110,135,21.45,44,2.28,2.128,10.16,0.25691,2.2,8.9588,22.175,0,-6.02850968,3.108612885,3.91660681,0,15.02,5500,9100,0.133,25.86,15.1,470,565.7,3.92,68,2045,9.09,2,24,1,9,0,14,0,0,1,1,6,0.133,72,213,229,239,275.4,2680,6.5
Au,79,146,226,10.2,196.966569,3080,220,427,136,124,121,123,135,19.3,36.1,2.54,2.30863,11.33,0.26137,2.4,9.22553,12.55,0,-3.20969261,3.220442052,4.057502731,0,16.7,1100,1000,0.129,25.418,16.96,340,368.2,4.08,70,1337.58,10.21,1,25,0,10,0,14,0,0,1,1,6,0.129,320,214,232,243,329.3,1740,5.8
Hg,80,157,229,14.8,200.592,629.73,25,268,132,133,142,114.7742102,150,13.546,33.91,2,2.225676743,10.44,0.169,1.9,10.4375,2.295,0,-0.250105562,3.695665057,4.656246199,0,25.23758621,5500,3100,0.14,27.983,23.82,58.5,61.38,2.99,74,234.28,14.09,0,26,0,10,0,14,0,0,0,2,6,0.138,8.3,223,245,253,270.5,1407,5.02
Tl,81,171,242,17.2,204.38,1730,43,509,145,144,142,150,190,11.85,51.7,1.62,0.377,12.64039003,0.173447,1.8,6.108194,4.142,0,-2.27267753,3.775558738,4.756905929,0,26.91,6500,6500,0.129,26.32,28.53,162.4,182.2,3.46,78,576.6,17.22,5,27,0,10,0,14,5,1,0,2,6,0.128,46,196,247,259,434.7,818,7.6
Pb,82,175,249,18.3,207.2,2013,46,534,146,144,135,137,143.4662685,11.35,47.1,2.33,0.35674316,10.97,0.177911,1.8,7.41663,4.774,0,-3.62902961,3.830865877,4.826588558,0,28.11,2700,1800,0.13,24.7,30.32,177.8,195.2,4.95,82,600.65,18.26,4,28,0,10,0,14,4,2,0,2,6,0.159,35,202,260,274,429.7,1260,6.98
Bi,83,170,250,21.3,208.9804,1883,31,513,148,151,141,135,160,9.747,50,2.02,0.942362,11.9,0.182377,1.9,7.2855,11.106,0,-3.9736944,4.039197959,5.089070533,0,32.95,5300,6000,0.122,25.52,35.38,172,209.6,4.75,87,544.5,21.31,3,29,0,10,0,14,3,3,0,2,6,0.124,8,207,254,266,437,1790,7.4
Po,84,176,250,22.7,209,1235,75.79360664,424,140,145,135,129,190,9.32,46,2,1.9,13,0.186842,2,8.414,10,0,-4.039348349,4.262821718,5.370818814,0,38.73125,4272.884763,3871.180773,1.510047822,27.06603795,37.38,102.9,214.7722147,3.35,91,527,22.97,2,30,0,10,0,14,2,4,0,2,6,0.125,20,197,214.2720439,259,470.9,3106.852008,6.8
At,85,147.6649331,247,20.93191635,210,610,63.40060618,351,150,147,138,138,128.3707671,6.052295855,43,2.22,2.8,14.1,0.19131,2.2,11.14651481,11.05330931,0,-4.039348349,4.262821718,5.370818814,0,38.73125,4650.134553,3891.224606,1.940848188,28.09965104,39.49,63.47648768,175.0344973,4.945939271,96,575,19.27534038,1,31,0,10,0,14,1,5,0,2,6,0.968225194,2,202,203.0523628,251,475,3852.278359,6
Rn,86,150.1755466,243,22.89551985,222,211.4,56.49968798,408,150,142,145,133,135.1541836,4.4,33.18,2.43,1.9293313,15.4,0.195772,2.043894281,10.7485,7.728805588,0,-4.039348349,4.262821718,5.370818814,0,38.73125,3952.462219,3551.133878,0.094,20.786,41.71,18.1,119.7846809,4.960327852,6,202,50.5,0,32,0,10,0,14,0,6,0,2,6,0.094,0.00361,220,240,243,476.5,2710.612715,5.3
Fr,87,174.6738109,258,29.45258293,223,950,72.52774081,1953.869773,260,223,218,133.3763528,165.398625,5.473797742,311.5,0.71,0.486,9.523200702,0.08731,0.7,4.072741,7.297893185,0,-4.039348349,4.262821718,5.370818814,0,38.73125,5016.385915,3155.972012,1.443329276,31.20169117,79.69,55.17810083,142.9444811,5.31935914,7,300,30.6174396,1,1,0,0,0,0,0,0,1,1,7,0.864490927,69.93748069,348,247.9600442,364,490,2864.360861,48.6
Ra,88,170.2553601,292,45,226,1413,80.25391694,1959.613051,221,201,173,159,215,5.5,242.8,0.92,0.1,10.31150272,0.09789,0.9,5.278423,7.7,0,-4.039348349,4.262821718,5.370818814,0,38.73125,4798.615716,3678.21981,1.41882459,26.96763441,68.22,113,159,4.893697566,13,973,41.09,0,2,0,0,0,0,0,0,0,2,7,0.12,19,283,248.9334266,327,367.7,4596.620587,38.3
Ac,89,188,293,22.54,227,3470,109.7992991,2178.590739,215,186,153,140,195,9.756749058,217,1.09,0.35,8.039883612,0.10033,1.1,5.17,12,0,-4.105002298,4.465163104,5.625752986,0,44.5125,6777.447304,4454.383934,0.12,27.2,37.45,292.9,406,5.31,48,1320,22.55,9,3,9,1,0,0,0,0,0,2,7,0.716726031,12,247,280,308,347.8,3633.642953,32.1
Th,90,180,289,19.8,232.0377,5060,54,2513.278129,206,175,143,136,180,11.78,217,1.32,2.918971078,5.619315079,0.10277,1.3,6.3067,13.81,0,-7.41254306,4.015357627,5.059033597,0,32.37,7607.018787,4738.331772,0.118,27.32,32.86,513.7,602,5.08,47,2028,19.8,8,4,8,2,0,0,0,0,0,2,7,0.113,54,245,293,274,339.6,2490,32.1
Pa,91,161,285,15,231.03588,4300,145.3996842,2039.299326,200,169,138,129,180,15.37,171,1.54,2.885456144,6.557193021,0.12149,1.5,5.89,12.34,0,-9.49741247,3.692852039,4.652702018,0,25.18,5931.48079,4534.898531,1.345172426,23.74970846,24.94,481.2,563,3.92,46,2113,15.18,21,5,9,1,12,2,0,0,0,2,7,0.121,47,243,288,264,342.4,5621.547555,25.4
U,92,138,283,12.5,238.02891,4018,100,2491.29258,196,170,134,118,175,19.05,137,1.38,3.112282786,5.594914253,0.13207,1.7,6.1941,9.14,0,-11.29233996,3.42137628,4.310663995,0,20.025,8060.265334,4021.325327,0.116,27.665,21.18,417,533,2.85,45,1405.5,12.49,20,6,9,1,11,3,0,0,0,2,7,0.115,27,241,271,252,339.5,3155,24.9
Np,93,130,280,21.1,237,4175,124.1017144,2398.576467,190,171,136,116,175,20.25,167,1.36,3.380670609,6.515828492,0.14265,1.3,6.2657,3.2,0,-12.94031436,3.329442683,4.194834921,0,18.45375,7658.348671,4222.775527,1.525300465,26.7653742,19.22,336,464.8,4.72,44,913,11.59,19,7,9,1,10,4,0,0,0,2,7,0.543388225,6,239,282,252,342.4,2999.089592,24.8
Pu,94,151,278,21.15659415,244,3505,90.47093768,2294.423315,187,172,135,135.2516505,175,19.84,165,1.28,2.841452899,6.637731448,0.16137,1.3,6.026,2.824,0,-14.32663431,3.306811764,4.166321749,0.318003638,18.08,7747.714809,4069.620141,0.988076988,27.86135998,20.04,343.5,345,4.221422036,43,914,12.29,8,8,0,0,8,6,0,0,0,2,7,0.646076854,6,243,281,252,342.4,2260,24.5
